Time (t) , Room temperature(T(t))
118.10, 13.1810
118.20, 13.1777
118.30, 13.1743
118.40, 13.1710
118.50, 13.1677
118.60, 13.1643
118.70, 13.1610
118.80, 13.1577
118.90, 13.1544
119.00, 13.1511
119.10, 13.1478
119.20, 13.1444
119.30, 13.1411
119.40, 13.1378
119.50, 13.1346
119.60, 13.1313
119.70, 13.1280
119.80, 13.1247
119.90, 13.1214
120.00, 13.1181
120.10, 13.1149
120.20, 13.1116
120.30, 13.1083
120.40, 13.1051
120.50, 13.1018
120.60, 13.0985
120.70, 13.0953
120.80, 13.0920
120.90, 13.0888
121.00, 13.0855
121.10, 13.0823
121.20, 13.0791
121.30, 13.0758
121.40, 13.0726
121.50, 13.0694
121.60, 13.0662
121.70, 13.0629
121.80, 13.0597
121.90, 13.0565
122.00, 13.0533
122.10, 13.0501
122.20, 13.0469
122.30, 13.0437
122.40, 13.0405
122.50, 13.0373
122.60, 13.0341
122.70, 13.0309
122.80, 13.0277
122.90, 13.0246
123.00, 13.0214
123.10, 13.0182
123.20, 13.0150
123.30, 13.0119
123.40, 13.0087
123.50, 13.0056
123.60, 13.0024
123.70, 12.9993
123.80, 12.9961
123.90, 12.9930
124.00, 12.9898
124.10, 12.9867
124.20, 12.9835
124.30, 12.9804
124.40, 12.9773
124.50, 12.9742
124.60, 12.9710
124.70, 12.9679
124.80, 12.9648
124.90, 12.9617
125.00, 12.9586
125.10, 12.9555
125.20, 12.9524
125.30, 12.9493
125.40, 12.9462
125.50, 12.9431
125.60, 12.9400
125.70, 12.9369
125.80, 12.9338
125.90, 12.9307
126.00, 12.9277
126.10, 12.9246
126.20, 12.9215
126.30, 12.9184
126.40, 12.9154
126.50, 12.9123
126.60, 12.9093
126.70, 12.9062
126.80, 12.9031
126.90, 12.9001
127.00, 12.8971
127.10, 12.8940
127.20, 12.8910
127.30, 12.8879
127.40, 12.8849
127.50, 12.8819
127.60, 12.8789
127.70, 12.8758
127.80, 12.8728
127.90, 12.8698
128.00, 12.8668
128.10, 12.8638
128.20, 12.8608
128.30, 12.8578
128.40, 12.8548
128.50, 12.8518
128.60, 12.8488
128.70, 12.8458
128.80, 12.8428
128.90, 12.8398
129.00, 12.8368
129.10, 12.8338
129.20, 12.8309
129.30, 12.8279
129.40, 12.8249
129.50, 12.8220
129.60, 12.8190
129.70, 12.8160
129.80, 12.8131
129.90, 12.8101
130.00, 12.8072
130.10, 12.8042
130.20, 12.8013
130.30, 12.7983
130.40, 12.7954
130.50, 12.7925
130.60, 12.7895
130.70, 12.7866
130.80, 12.7837
130.90, 12.7808
131.00, 12.7778
131.10, 12.7749
131.20, 12.7720
131.30, 12.7691
